stratum_code,au_id,si_class,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
CWHVM_CW_FDC,cwhvm_cw_fdc_h,H,CWHvm,CW_FDC,5,41.736012,32.0,32.0,28.0,36.0,23.0,24.0,False
CWHVM_DR_SS,cwhvm_dr_ss_l,L,CWHvm,DR_SS,11,40.297872,21.727272,22.0,18.0,23.0,23.0,27.0,False
CWHVH_CW_BA,cwhvh_cw_ba_l,L,CWHvh,CW_BA,2,39.133014,16.0,16.0,16.0,16.0,16.15,18.85,False
MHMM_HM_BA,mhmm_hm_ba_m,M,MHmm,HM_BA,4,37.82069,14.0,14.0,12.0,16.0,11.2,16.0,False
CWHVM_SS,cwhvm_ss_l,L,CWHvm,SS,5,36.76426,26.4,27.0,20.0,31.0,31.0,33.0,False
CWHVM_BA_HM,cwhvm_ba_hm_l,L,CWHvm,BA_HM,3,35.731667,12.0,12.0,12.0,12.0,15.2,17.0,False
CWHVH_DR_HW,cwhvh_dr_hw_h,H,CWHvh,DR_HW,6,35.703473,33.666668,34.0,30.0,37.0,23.95,28.1,False
CWHVM_BA_CW,cwhvm_ba_cw_l,L,CWHvm,BA_CW,5,35.402674,20.2,20.0,19.0,22.0,23.1,26.0,False
CWHVM_BA_CW,cwhvm_ba_cw_m,M,CWHvm,BA_CW,6,35.151094,25.333334,26.0,24.0,26.0,23.1,26.0,False
CWHVH_HW,cwhvh_hw_m,M,CWHvh,HW,13,34.437796,16.846153,17.0,16.0,18.0,15.0,19.0,False
MHMM_BA_HM,mhmm_ba_hm_h,H,MHmm,BA_HM,2,33.300403,22.0,22.0,16.0,28.0,12.0,12.0,False
CWHVM_HW_HM,cwhvm_hw_hm_h,H,CWHvm,HW_HM,1,33.267401,28.0,28.0,28.0,28.0,24.0,24.0,False
CWHVH_BA_HW,cwhvh_ba_hw_h,H,CWHvh,BA_HW,2,33.092961,24.0,24.0,24.0,24.0,20.2,23.2,False
CWHVM_CW_HM,cwhvm_cw_hm_l,L,CWHvm,CW_HM,4,31.437582,9.5,9.5,9.0,10.0,10.0,10.9,False
MHMM_HM_YC,mhmm_hm_yc_h,H,MHmm,HM_YC,6,30.879195,8.666667,7.0,7.0,15.0,5.0,6.0,False
CWHVM_CW_HM,cwhvm_cw_hm_h,H,CWHvm,CW_HM,3,30.46124,13.0,12.0,11.0,16.0,10.0,10.9,False
CWHVM_PL_CW,cwhvm_pl_cw_h,H,CWHvm,PL_CW,4,29.863933,20.0,20.0,19.0,21.0,10.45,18.25,False
CWHVM_YC_FDC,cwhvm_yc_fdc_l,L,CWHvm,YC_FDC,3,29.591835,28.0,32.0,20.0,32.0,32.0,32.0,False
CWHVM_DR_CW,cwhvm_dr_cw_m,M,CWHvm,DR_CW,9,28.065131,26.0,26.0,23.0,27.0,22.95,27.0,False
CWHVM_HM_BA,cwhvm_hm_ba_h,H,CWHvm,HM_BA,8,28.04372,12.125,12.0,9.0,17.0,6.35,8.65,False
CWHVH_CW_SS,cwhvh_cw_ss_l,L,CWHvh,CW_SS,9,28.033341,14.777778,16.0,12.0,16.0,16.0,16.45,False
CWHVH_HW_FD,cwhvh_hw_fd_l,L,CWHvh,HW_FD,2,27.505753,31.0,31.0,31.0,31.0,31.0,31.0,False
CWHVM_SS_DR,cwhvm_ss_dr_l,L,CWHvm,SS_DR,6,27.064091,23.5,27.5,13.0,30.0,30.25,33.75,False
CWHVM_FD,cwhvm_fd_l,L,CWHvm,FD,7,27.060233,19.571428,20.0,17.0,20.0,20.0,21.0,False
CWHVM_SS,cwhvm_ss_h,H,CWHvm,SS,3,26.872267,35.333332,35.0,34.0,37.0,31.0,33.0,False
CWHVM_SS_CW,cwhvm_ss_cw_m,M,CWHvm,SS_CW,5,26.199465,29.8,31.0,28.0,31.0,25.0,31.0,False
CWHVH_SS_DR,cwhvh_ss_dr_h,H,CWHvh,SS_DR,1,26.095362,30.0,30.0,30.0,30.0,28.05,28.95,False
CWHVH_DR_HW,cwhvh_dr_hw_m,M,CWHvh,DR_HW,6,25.523978,25.833334,26.0,24.0,28.0,23.95,28.1,False
MHMM_YC_HW,mhmm_yc_hw_m,M,MHmm,YC_HW,4,25.200728,11.0,11.0,11.0,11.0,10.0,11.0,False
CWHVM_HM_BA,cwhvm_hm_ba_l,L,CWHvm,HM_BA,8,24.9386,5.25,5.5,3.0,6.0,6.35,8.65,False
